,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
70,13413205.8181562,18993962.5297686,19236371.8673393,18960898.3300971,28055837.1892338,8582923.12230658,23109978.8963535,19657775.7010833,15188227.7262308,18033893.1837258,37542587.1918235,13153035.6282504,160531594.135001,60094568.0026052,62257588.0453634,19145747.2756704,314983019.175258
71,133642058.73129,92785211.3465541,23836780.2977056,17072209.4973419,107557068.784216,139425503.722346,70401180.9186264,82187905.9358409,110314998.146982,87314612.226901,1149990519.3061,190650363.169262,2202788131.21289,1099794741.82476,484685413.913474,33780721.6683334,1418438785.11162
72,399990389.279492,436948944.530152,66192758.398243,430364928.972798,495964071.247207,71651975.1881697,314836159.865013,318528362.599933,10482836.7844388,30863607.5260777,118047152.435052,71979611.2310596,36044988.7270068,105505716.427605,415875844.184379,62374780.9021844,13946578.4944704
73,2519274522.01094,184426366.431039,59019060.4788452,107215614.36927,138302842.303518,601991333.727385,185408775.463826,120311718.122859,800559254.037026,134871704.435904,1580844141.20164,289821910.434053,35324166.4244809,230997194.154596,181716065.967145,62234405.2792728,69927567.287425
74,30373079.7703037,452100855.917765,246986303.074457,31092561.5486795,36538426.6268279,52201053.8696976,20655396.8561987,21929564.9607747,58940641.1349408,334267350.595689,54300584.5744418,24885732.4412905,376263472.174588,97329083.6435117,54625292.2633003,209814009.545005,432018265.66524
75,460366123.351378,452346584.728757,26624197.8495403,443905695.314308,446246697.674143,475250220.371094,466627310.663476,485296007.833323,35788127.1581284,45422084.4733993,470212351.181886,12730279.7018579,231162640.846774,12309450.0254454,485853556.158209,14203967.1539188,247090103.616586
76,15564897.0458177,17046212.0149379,117441250.142908,1569393199.3247,19411475.6248819,15608284.4968502,16555984.1663323,16366210.8724257,16018072.9585674,33717723.1236098,1339250790.17878,25677826.1146703,31915249.7490676,97341918.568599,216307446.905154,63441273.3998679,38164484.1228389
77,427175374.838547,441740945.245281,27815258.545282,119412651.31491,60323124.864047,476518711.996612,375788080.748734,55198817.9425885,170265863.477392,300529202.522379,43131848.3755586,55623318.2575031,517538933.618226,214638911.77665,235612312.338104,43147893.1315888,496733688.92182
78,18953972.6473005,112980977.971245,12310987.7254108,32507115.2899227,12240513.9540357,116058529.391385,11235682.9234333,10115074.6386731,5960730.0642593,14487153.6131756,66384066.868288,26078375.7361483,81483249.9346168,25274533.5128292,134248725.190142,6937850.56356436,45634507.5836165
79,330790106.077132,428223644.559271,440033526.858123,486494678.162419,443533835.997887,496089154.642124,483575569.848022,451891117.948285,79911330.171708,164148791.023222,429521778.424651,402979512.684983,279283613.821287,72787040.7276059,402052706.427744,438279720.309945,254374459.73728
